ProjectNumber,BudgetYear,CostType,CostAmount
6030,2010,Labor,53.71
6031,2002,Material,8978.87
6032,2002,Material,187.83
6032,2003,Material,140032
6032,2004,Labor,30.17
6033,2002,Material,66726.15
6034,2002,Labor,4264.51
6034,2002,Material,46171.12
6034,2003,Labor,121.45
6034,2003,Material,2254.57
6035,2002,Labor,1036
6035,2002,Material,2965.14
6035,2003,Labor,8970.88
6035,2003,Material,30789.11
6035,2004,Labor,6346.07
6035,2004,Material,52929.82
6035,2005,Labor,8312.23
6035,2005,Material,19655.32
6035,2006,Labor,6638.4
6035,2006,Material,25829.16
6035,2007,Labor,18293.22
